visit_id,gateway_id,requested_on,visited_on,reason_reported,outcome,parts_replaced,technician_hours
WO-2025-00205,02:38:8A:18:85:4F,2025-05-30,2025-06-16,Kunde meldet Ausfall,Fehler behoben,,1.91
WO-2025-00209,06:93:09:6C:4C:42,2025-05-30,2025-06-11,Keine Verbindung,Kein Fehler gefunden,,0.95
WO-2025-00222,06:4A:ED:1E:C0:AA,2025-06-02,2025-06-16,Haeufige Neustarts,Fehler behoben,,1.61
WO-2025-00217,0E:29:3C:5E:46:50,2025-06-02,2025-06-14,Zaehler nicht gelesen,Fehler behoben,Antenne,2.06
WO-2025-00220,0E:46:21:88:40:8C,2025-06-02,2025-06-10,Signal schwach,Kein Fehler gefunden,,0.94
WO-2025-00226,02:42:3E:0E:6E:9F,2025-06-03,2025-06-10,Kunde meldet Ausfall,Fehler behoben,Netzteil,3.43
WO-2025-00228,0A:18:4A:2E:46:B7,2025-06-03,2025-06-10,Zaehler nicht gelesen,Kein Fehler gefunden,,0.61
WO-2025-00221,0E:AE:FE:AE:FB:09,2025-06-03,2025-06-19,Kunde meldet Ausfall,Kein Fehler gefunden,,1.72
WO-2025-00223,02:30:EE:F7:24:35,2025-06-04,2025-06-08,Zaehler nicht gelesen,Kein Fehler gefunden,,1.7
WO-2025-00227,06:34:F7:8D:B4:C5,2025-06-04,2025-06-18,Zaehler nicht gelesen,Kein Fehler gefunden,,1.67
WO-2025-00224,02:14:2F:01:77:81,2025-06-05,2025-06-14,Kunde meldet Ausfall,Kein Fehler gefunden,,1.67
WO-2025-00216,06:C9:8D:F4:F0:FA,2025-06-05,2025-06-19,Auffaellige Statistik,Kein Fehler gefunden,,0.58
WO-2025-00225,0A:80:01:88:C2:0F,2025-06-05,2025-06-12,Auffaellige Statistik,Kein Zugang,,0.53
WO-2025-00215,0E:0C:3E:B7:91:5D,2025-06-05,2025-06-18,Auffaellige Statistik,Kein Fehler gefunden,,0.72
WO-2025-00218,0E:6A:CE:6D:31:46,2025-06-05,2025-06-22,Keine Verbindung,Kein Fehler gefunden,,1.88
WO-2025-00219,02:6A:60:07:FA:48,2025-06-06,2025-06-17,Auffaellige Statistik,Kein Fehler gefunden,,1.35
WO-2025-00235,0A:42:B2:DB:63:70,2025-06-10,2025-06-25,Kunde meldet Ausfall,Fehler behoben,,2.46
WO-2025-00230,02:79:D2:AC:6A:CE,2025-06-11,2025-06-18,Keine Verbindung,Kein Fehler gefunden,,1.62
WO-2025-00229,0A:19:C6:2F:4F:6D,2025-06-11,2025-06-13,Signal schwach,Kein Fehler gefunden,,0.52
WO-2025-00233,0A:63:24:E3:E0:43,2025-06-12,2025-06-29,Keine Verbindung,Fehler behoben,Antenne,2.78
WO-2025-00231,0A:A2:F2:CA:B5:0B,2025-06-12,2025-06-29,Auffaellige Statistik,Kein Fehler gefunden,,0.88
WO-2025-00232,06:DF:11:8D:79:89,2025-06-13,2025-06-16,Zaehler nicht gelesen,Kein Fehler gefunden,,0.73
WO-2025-00234,0E:75:2F:1B:29:5C,2025-06-13,2025-06-19,Zaehler nicht gelesen,Fehler behoben,Antenne,3.06
WO-2025-00239,02:4E:D4:33:BF:7D,2025-06-16,2025-07-02,Haeufige Neustarts,Kein Fehler gefunden,,0.53
WO-2025-00238,0E:69:C6:4B:6E:57,2025-06-16,2025-06-28,Keine Verbindung,Fehler behoben,SIM-Karte,2.42
WO-2025-00244,02:30:D2:61:A1:CD,2025-06-17,2025-06-27,Signal schwach,Kein Fehler gefunden,,1.45
WO-2025-00236,0A:10:20:1A:FE:0A,2025-06-17,2025-06-24,Keine Verbindung,Fehler behoben,Kabel,1.77
WO-2025-00243,0A:EF:10:F3:A9:94,2025-06-17,2025-06-25,Zaehler nicht gelesen,Kein Fehler gefunden,,0.51
WO-2025-00245,0E:8C:F9:CA:52:6F,2025-06-17,2025-06-19,Zaehler nicht gelesen,Kein Fehler gefunden,,1.75
WO-2025-00247,02:9C:03:C2:BF:19,2025-06-18,2025-07-02,Kunde meldet Ausfall,Kein Fehler gefunden,,0.54
WO-2025-00240,0E:7A:8A:54:14:C2,2025-06-18,2025-06-27,Keine Verbindung,Kein Fehler gefunden,,1.69
WO-2025-00237,0E:8B:85:66:81:5B,2025-06-18,2025-06-20,Haeufige Neustarts,Kein Fehler gefunden,,1.71
WO-2025-00246,0A:68:DF:0B:3D:07,2025-06-19,2025-06-28,Auffaellige Statistik,Kein Fehler gefunden,,0.78
WO-2025-00242,06:D0:34:22:53:A0,2025-06-20,2025-07-06,Keine Verbindung,Fehler behoben,SIM-Karte,3.38
WO-2025-00241,06:ED:BA:E6:4B:57,2025-06-20,2025-06-27,Zaehler nicht gelesen,Kein Fehler gefunden,,0.91
WO-2025-00249,02:57:E8:55:DB:CE,2025-06-23,2025-07-04,Kunde meldet Ausfall,Fehler behoben,Netzteil,2.64
WO-2025-00258,06:0C:57:73:A6:1B,2025-06-23,2025-07-03,Signal schwach,Kein Fehler gefunden,,0.93
WO-2025-00252,0A:23:47:4F:19:44,2025-06-23,2025-07-04,Kunde meldet Ausfall,Kein Fehler gefunden,,1.34
WO-2025-00255,0A:D2:76:FC:5E:27,2025-06-23,2025-07-01,Haeufige Neustarts,Fehler behoben,Netzteil,3.2
WO-2025-00248,0A:F8:DC:B9:8E:4B,2025-06-23,2025-07-09,Kunde meldet Ausfall,Fehler behoben,Antenne,1.83
WO-2025-00259,02:2C:6F:32:6E:3B,2025-06-24,2025-07-02,Zaehler nicht gelesen,Kein Fehler gefunden,,1.6
WO-2025-00254,02:89:2F:51:E1:CB,2025-06-24,2025-07-02,Haeufige Neustarts,Fehler behoben,Antenne,3.0
WO-2025-00256,06:B6:41:B7:5B:29,2025-06-24,2025-07-11,Haeufige Neustarts,Kein Fehler gefunden,,1.46
WO-2025-00251,06:1A:43:22:74:5C,2025-06-25,2025-07-04,Signal schwach,Kein Fehler gefunden,,1.02
WO-2025-00257,06:39:EA:56:02:C1,2025-06-25,2025-07-11,Routinepruefung,Kein Fehler gefunden,,1.88
WO-2025-00253,0E:25:75:C7:EE:05,2025-06-25,2025-07-02,Auffaellige Statistik,Kein Fehler gefunden,,0.63
WO-2025-00260,06:85:53:B3:AA:23,2025-06-26,2025-07-09,Signal schwach,Kein Fehler gefunden,,1.89
WO-2025-00250,0A:55:DA:26:6F:71,2025-06-26,2025-07-08,Haeufige Neustarts,Fehler behoben,Netzteil,3.15
WO-2025-00261,0E:F0:84:81:B3:33,2025-06-27,2025-07-10,Haeufige Neustarts,Kein Fehler gefunden,,0.62
WO-2025-00266,0A:66:3B:6B:4B:28,2025-06-30,2025-07-16,Kunde meldet Ausfall,Fehler behoben,Kabel,1.41
WO-2025-00270,0E:F0:23:E6:45:2D,2025-06-30,2025-07-13,Kunde meldet Ausfall,Fehler behoben,Kabel,1.78
WO-2025-00271,02:F5:CE:77:05:EC,2025-07-02,2025-07-15,Kunde meldet Ausfall,Fehler behoben,Gateway getauscht,3.08
WO-2025-00268,0E:97:61:D8:EB:58,2025-07-02,2025-07-16,Auffaellige Statistik,Kein Fehler gefunden,,1.76
WO-2025-00265,0A:6D:A0:C8:2C:CB,2025-07-03,2025-07-19,Keine Verbindung,Fehler behoben,,3.61
WO-2025-00264,0A:FE:70:2B:B0:93,2025-07-03,2025-07-07,Zaehler nicht gelesen,Fehler behoben,,2.87
WO-2025-00262,06:C0:D5:E3:BC:DB,2025-07-04,2025-07-14,Kunde meldet Ausfall,Fehler behoben,Netzteil,3.23
WO-2025-00272,0A:1F:B1:C9:8A:92,2025-07-04,2025-07-06,Auffaellige Statistik,Kein Zugang,,1.2
WO-2025-00263,0A:A9:05:1F:FF:FA,2025-07-04,2025-07-21,Auffaellige Statistik,Kein Fehler gefunden,,0.81
WO-2025-00267,0A:B5:F9:C2:1B:F8,2025-07-04,2025-07-19,Kunde meldet Ausfall,Fehler behoben,Netzteil,3.74
WO-2025-00269,0E:21:C2:39:D8:65,2025-07-04,2025-07-12,Haeufige Neustarts,Fehler behoben,Kabel,2.19
WO-2025-00281,02:07:5B:45:BF:24,2025-07-07,2025-07-11,Signal schwach,Kein Zugang,,1.16
WO-2025-00284,02:25:13:88:D3:A2,2025-07-08,2025-07-16,Keine Verbindung,Kein Fehler gefunden,,1.29
WO-2025-00285,02:6A:60:07:FA:48,2025-07-08,2025-07-12,Routinepruefung,Kein Fehler gefunden,,1.59
WO-2025-00278,06:13:2D:73:96:F8,2025-07-08,2025-07-11,Routinepruefung,Kein Fehler gefunden,,1.38
WO-2025-00273,0E:46:21:88:40:8C,2025-07-08,2025-07-12,Kunde meldet Ausfall,Kein Fehler gefunden,,0.82
WO-2025-00282,06:4B:E1:9B:0A:9E,2025-07-09,2025-07-16,Zaehler nicht gelesen,Fehler behoben,SIM-Karte,2.25
WO-2025-00277,06:CE:0F:3C:FB:3C,2025-07-09,2025-07-16,Kunde meldet Ausfall,Fehler behoben,,3.02
WO-2025-00280,0A:10:A5:A5:05:6E,2025-07-09,2025-07-25,Kunde meldet Ausfall,Fehler behoben,,1.29
WO-2025-00275,02:09:1D:F7:CC:B8,2025-07-10,2025-07-22,Signal schwach,Kein Fehler gefunden,,1.08
WO-2025-00276,02:8B:24:EA:DD:AD,2025-07-10,2025-07-18,Signal schwach,Kein Fehler gefunden,,1.23
WO-2025-00283,0A:84:07:CF:4D:85,2025-07-10,2025-07-16,Kunde meldet Ausfall,Fehler behoben,Netzteil,2.21
WO-2025-00279,0E:6D:2C:BA:ED:41,2025-07-10,2025-07-22,Auffaellige Statistik,Kein Fehler gefunden,,1.29
WO-2025-00286,0E:E0:9E:DA:64:9F,2025-07-10,2025-07-18,Routinepruefung,Kein Fehler gefunden,,1.68
WO-2025-00274,0E:1D:7C:A1:DB:0C,2025-07-11,2025-07-19,Kunde meldet Ausfall,Fehler behoben,,1.51
WO-2025-00291,0E:D5:05:7E:CE:3F,2025-07-14,2025-07-31,Haeufige Neustarts,Fehler behoben,Kabel,3.06
WO-2025-00298,06:F4:9B:D8:F5:72,2025-07-15,2025-07-17,Auffaellige Statistik,Kein Fehler gefunden,,0.82
WO-2025-00296,0A:5D:01:7E:40:1E,2025-07-15,2025-07-18,Signal schwach,Kein Fehler gefunden,,1.56
WO-2025-00295,0E:8F:36:DA:B9:C2,2025-07-15,2025-07-28,Kunde meldet Ausfall,Fehler behoben,,3.39
WO-2025-00294,02:C0:F4:5F:31:E7,2025-07-16,2025-07-26,Routinepruefung,Kein Fehler gefunden,,0.76
WO-2025-00299,06:9A:98:DE:EB:1D,2025-07-16,2025-07-23,Haeufige Neustarts,Fehler behoben,,1.28
WO-2025-00293,0A:42:B2:DB:63:70,2025-07-16,2025-07-25,Routinepruefung,Kein Fehler gefunden,,1.44
WO-2025-00297,0E:5A:9C:EA:80:93,2025-07-16,2025-07-29,Zaehler nicht gelesen,Fehler behoben,Antenne,2.75
WO-2025-00289,02:D4:9A:34:B2:FE,2025-07-17,2025-08-03,Keine Verbindung,Fehler behoben,Netzteil,1.85
WO-2025-00288,06:98:1F:D8:AA:87,2025-07-17,2025-07-27,Haeufige Neustarts,Fehler behoben,Antenne,1.42
WO-2025-00292,0A:A2:96:FF:24:7D,2025-07-17,2025-07-29,Routinepruefung,Kein Fehler gefunden,,1.57
WO-2025-00287,0E:0A:8D:6E:B6:B9,2025-07-18,2025-08-01,Haeufige Neustarts,Fehler behoben,,2.73
WO-2025-00290,0E:E7:8E:43:17:BB,2025-07-18,2025-08-04,Zaehler nicht gelesen,Kein Fehler gefunden,,0.98
WO-2025-00302,0A:E2:1E:7A:17:E4,2025-07-21,2025-08-06,Routinepruefung,Kein Fehler gefunden,,1.8
WO-2025-00310,0E:3D:06:A0:7E:94,2025-07-21,2025-07-28,Keine Verbindung,Fehler behoben,Netzteil,3.77
WO-2025-00307,02:3A:DD:DE:CF:84,2025-07-22,2025-08-07,Haeufige Neustarts,Fehler behoben,Gateway getauscht,1.66
WO-2025-00308,02:45:70:73:9D:E0,2025-07-22,2025-08-02,Keine Verbindung,Fehler behoben,Kabel,1.96
WO-2025-00309,06:23:8E:E3:BE:6C,2025-07-22,2025-07-27,Zaehler nicht gelesen,Kein Fehler gefunden,,1.37
WO-2025-00305,0E:0C:3E:B7:91:5D,2025-07-22,2025-08-06,Signal schwach,Kein Fehler gefunden,,1.62
WO-2025-00306,02:14:2F:01:77:81,2025-07-23,2025-08-02,Kunde meldet Ausfall,Kein Fehler gefunden,,1.31
WO-2025-00304,02:59:99:1B:A0:36,2025-07-23,2025-07-28,Kunde meldet Ausfall,Fehler behoben,,1.52
WO-2025-00303,02:D7:62:35:52:C8,2025-07-23,2025-08-03,Zaehler nicht gelesen,Fehler behoben,Gateway getauscht,3.74
WO-2025-00301,0E:29:3C:5E:46:50,2025-07-24,2025-08-08,Zaehler nicht gelesen,Kein Fehler gefunden,,0.64
WO-2025-00311,02:7B:2D:C4:EA:84,2025-07-25,2025-08-05,Keine Verbindung,Fehler behoben,,3.13
WO-2025-00312,0A:E6:BF:39:C7:20,2025-07-25,2025-08-03,Keine Verbindung,Fehler behoben,Netzteil,3.5
WO-2025-00300,0E:8B:85:66:81:5B,2025-07-25,2025-07-31,Kunde meldet Ausfall,Fehler behoben,,3.31
WO-2025-00313,0E:F4:37:10:8E:63,2025-07-25,2025-07-29,Auffaellige Statistik,Kein Fehler gefunden,,0.71
WO-2025-00324,06:93:57:B9:F1:5F,2025-07-28,2025-08-14,Keine Verbindung,Fehler behoben,Kabel,2.13
WO-2025-00316,0A:52:DD:E8:96:BF,2025-07-28,2025-08-05,Signal schwach,Kein Fehler gefunden,,1.84
WO-2025-00320,02:14:58:26:10:3B,2025-07-29,2025-07-31,Auffaellige Statistik,Kein Fehler gefunden,,0.87
WO-2025-00326,02:2D:B4:7C:41:AC,2025-07-29,2025-08-04,Zaehler nicht gelesen,Fehler behoben,Antenne,3.68
WO-2025-00327,0A:55:DA:26:6F:71,2025-07-29,2025-08-06,Haeufige Neustarts,Kein Fehler gefunden,,1.49
WO-2025-00318,0A:68:F3:8A:6A:CF,2025-07-29,2025-07-31,Signal schwach,Kein Fehler gefunden,,1.46
WO-2025-00323,0E:0E:29:96:F5:1A,2025-07-29,2025-08-04,Keine Verbindung,Fehler behoben,Antenne,3.21
WO-2025-00322,0E:27:28:C4:81:CA,2025-07-29,2025-08-12,Routinepruefung,Kein Fehler gefunden,,1.45
WO-2025-00328,0A:78:FA:F4:7B:00,2025-07-30,2025-08-06,Haeufige Neustarts,Kein Fehler gefunden,,1.12
WO-2025-00321,06:B6:41:B7:5B:29,2025-07-31,2025-08-02,Kunde meldet Ausfall,Kein Fehler gefunden,,0.57
WO-2025-00319,0A:10:37:E9:0A:63,2025-07-31,2025-08-06,Auffaellige Statistik,Kein Fehler gefunden,,1.83
WO-2025-00317,0E:12:1B:6B:86:61,2025-07-31,2025-08-11,Keine Verbindung,Fehler behoben,Kabel,3.36
WO-2025-00315,02:02:CB:0A:6B:1F,2025-08-01,2025-08-14,Signal schwach,Kein Fehler gefunden,,1.59
WO-2025-00325,02:09:7A:B5:8D:3C,2025-08-01,2025-08-16,Keine Verbindung,Kein Fehler gefunden,,0.87
WO-2025-00314,0A:96:EA:CD:80:70,2025-08-01,2025-08-18,Zaehler nicht gelesen,Fehler behoben,Kabel,2.07
WO-2025-00339,0A:A3:F1:8D:E5:50,2025-08-05,2025-08-17,Haeufige Neustarts,Kein Fehler gefunden,,1.25
WO-2025-00334,0E:E3:17:BA:7C:52,2025-08-05,2025-08-19,Keine Verbindung,Fehler behoben,,3.0
WO-2025-00331,02:30:EE:F7:24:35,2025-08-07,2025-08-19,Routinepruefung,Kein Fehler gefunden,,1.01
WO-2025-00332,02:38:8A:18:85:4F,2025-08-07,2025-08-17,Kunde meldet Ausfall,Fehler behoben,Antenne,1.69
WO-2025-00333,0A:5E:96:44:93:74,2025-08-07,2025-08-17,Kunde meldet Ausfall,Kein Fehler gefunden,,1.6
WO-2025-00335,0E:5D:FC:F6:5A:D4,2025-08-07,2025-08-23,Routinepruefung,Kein Fehler gefunden,,0.63
WO-2025-00338,02:57:E8:55:DB:CE,2025-08-08,2025-08-14,Kunde meldet Ausfall,Kein Fehler gefunden,,1.74
WO-2025-00336,02:B5:C5:AD:C7:92,2025-08-08,2025-08-11,Signal schwach,Kein Fehler gefunden,,1.64
WO-2025-00337,0A:0B:47:66:4A:85,2025-08-08,2025-08-21,Auffaellige Statistik,Kein Fehler gefunden,,1.67
WO-2025-00330,0A:71:A6:F9:D6:C6,2025-08-08,2025-08-11,Routinepruefung,Kein Fehler gefunden,,0.83
WO-2025-00329,0A:A1:8F:33:0F:59,2025-08-08,2025-08-15,Zaehler nicht gelesen,Kein Fehler gefunden,,0.59
WO-2025-00346,02:89:2F:51:E1:CB,2025-08-12,2025-08-25,Haeufige Neustarts,Fehler behoben,,3.05
WO-2025-00345,0A:66:3B:6B:4B:28,2025-08-12,2025-08-24,Haeufige Neustarts,Fehler behoben,Gateway getauscht,2.51
WO-2025-00352,0A:FB:7B:31:19:96,2025-08-12,2025-08-25,Keine Verbindung,Fehler behoben,Netzteil,3.33
WO-2025-00350,0E:69:C6:4B:6E:57,2025-08-12,2025-08-16,Signal schwach,Kein Zugang,,0.98
WO-2025-00341,0E:6A:77:94:AF:C7,2025-08-13,2025-08-21,Kunde meldet Ausfall,Fehler behoben,Antenne,3.64
WO-2025-00343,06:4A:ED:1E:C0:AA,2025-08-14,2025-08-24,Kunde meldet Ausfall,Kein Fehler gefunden,,0.6
WO-2025-00348,0E:46:21:88:40:8C,2025-08-14,2025-08-18,Signal schwach,Kein Fehler gefunden,,1.9
WO-2025-00344,02:1D:82:B5:6A:3F,2025-08-15,2025-08-30,Kunde meldet Ausfall,Fehler behoben,SIM-Karte,2.98
WO-2025-00342,02:6A:60:07:FA:48,2025-08-15,2025-08-28,Kunde meldet Ausfall,Fehler behoben,Kabel,1.63
WO-2025-00349,02:9C:03:C2:BF:19,2025-08-15,2025-08-28,Zaehler nicht gelesen,Fehler behoben,Antenne,2.38
WO-2025-00347,06:C6:76:19:09:5C,2025-08-15,2025-08-18,Routinepruefung,Kein Fehler gefunden,,1.7
WO-2025-00340,0A:25:F6:E3:46:6C,2025-08-15,2025-08-25,Routinepruefung,Kein Fehler gefunden,,1.12
WO-2025-00351,0A:8E:A8:7B:B0:37,2025-08-15,2025-08-19,Haeufige Neustarts,Kein Fehler gefunden,,1.56
WO-2025-00353,0A:97:4F:5D:7D:8C,2025-08-15,2025-08-18,Haeufige Neustarts,Fehler behoben,Kabel,1.86
WO-2025-00364,02:13:26:77:32:8F,2025-08-18,2025-08-20,Routinepruefung,Kein Fehler gefunden,,1.27
WO-2025-00358,02:32:70:32:0B:57,2025-08-18,2025-09-02,Auffaellige Statistik,Kein Fehler gefunden,,0.81
WO-2025-00355,0A:7A:AF:DD:9E:11,2025-08-18,2025-08-29,Haeufige Neustarts,Fehler behoben,SIM-Karte,3.07
WO-2025-00360,0E:03:D8:F6:98:53,2025-08-18,2025-08-30,Haeufige Neustarts,Fehler behoben,SIM-Karte,3.28
WO-2025-00354,06:0E:E3:CB:47:79,2025-08-19,2025-08-25,Keine Verbindung,Fehler behoben,SIM-Karte,1.6
WO-2025-00359,06:FD:A7:D7:B2:2A,2025-08-20,2025-08-28,Zaehler nicht gelesen,Fehler behoben,,2.48
WO-2025-00357,06:90:3F:98:8F:32,2025-08-21,2025-09-05,Keine Verbindung,Fehler behoben,Antenne,2.14
WO-2025-00361,06:D3:88:A1:9D:5D,2025-08-21,2025-08-23,Signal schwach,Kein Fehler gefunden,,0.99
WO-2025-00356,06:CE:0F:3C:FB:3C,2025-08-22,2025-09-06,Zaehler nicht gelesen,Fehler behoben,Antenne,2.46
WO-2025-00363,0A:19:C6:2F:4F:6D,2025-08-22,2025-09-06,Kunde meldet Ausfall,Fehler behoben,,1.93
WO-2025-00362,0E:C8:A3:5D:0C:20,2025-08-22,2025-08-29,Haeufige Neustarts,Fehler behoben,,1.84
WO-2025-00367,02:7F:E9:CE:D4:89,2025-08-25,2025-08-29,Haeufige Neustarts,Kein Zugang,,0.88
WO-2025-00375,02:FB:DD:4A:2C:43,2025-08-25,2025-09-11,Keine Verbindung,Fehler behoben,Antenne,1.45
WO-2025-00373,0E:EC:B1:08:FF:91,2025-08-25,2025-08-27,Keine Verbindung,Kein Fehler gefunden,,1.04
WO-2025-00374,0E:E9:49:79:50:EE,2025-08-26,2025-09-05,Kunde meldet Ausfall,Kein Fehler gefunden,,1.56
WO-2025-00377,02:D7:62:35:52:C8,2025-08-27,2025-09-02,Kunde meldet Ausfall,Fehler behoben,Netzteil,1.29
WO-2025-00370,06:78:75:26:FE:B3,2025-08-27,2025-09-13,Keine Verbindung,Fehler behoben,SIM-Karte,2.44
WO-2025-00368,0A:15:BC:62:8A:FC,2025-08-28,2025-09-02,Haeufige Neustarts,Fehler behoben,Netzteil,2.81
WO-2025-00376,0A:1F:B1:C9:8A:92,2025-08-28,2025-09-01,Auffaellige Statistik,Kein Fehler gefunden,,0.62
WO-2025-00369,0A:48:56:68:F5:C0,2025-08-28,2025-09-10,Zaehler nicht gelesen,Kein Fehler gefunden,,1.87
WO-2025-00366,0A:F9:84:6E:92:DD,2025-08-28,2025-09-01,Signal schwach,Kein Fehler gefunden,,1.17
WO-2025-00371,0E:1B:6F:4D:BA:34,2025-08-28,2025-09-06,Haeufige Neustarts,Fehler behoben,Antenne,3.02
WO-2025-00365,0E:75:2F:1B:29:5C,2025-08-28,2025-09-14,Haeufige Neustarts,Fehler behoben,Gateway getauscht,3.73
WO-2025-00372,02:7D:07:FC:97:FC,2025-08-29,2025-09-13,Kunde meldet Ausfall,Fehler behoben,,3.0
WO-2025-00382,02:D4:DF:EF:40:2A,2025-09-01,2025-09-07,Kunde meldet Ausfall,Kein Fehler gefunden,,1.06
WO-2025-00391,02:EB:C6:CD:43:98,2025-09-01,2025-09-17,Routinepruefung,Kein Fehler gefunden,,1.02
WO-2025-00379,02:2D:B4:7C:41:AC,2025-09-02,2025-09-09,Auffaellige Statistik,Kein Fehler gefunden,,0.72
WO-2025-00383,0A:68:2E:D9:C6:DD,2025-09-02,2025-09-18,Signal schwach,Kein Fehler gefunden,,1.78
WO-2025-00387,0E:97:61:D8:EB:58,2025-09-02,2025-09-07,Signal schwach,Kein Fehler gefunden,,0.65
WO-2025-00392,06:4B:E1:9B:0A:9E,2025-09-03,2025-09-09,Signal schwach,Kein Fehler gefunden,,0.59
WO-2025-00386,0A:B6:B4:5C:77:5A,2025-09-03,2025-09-13,Keine Verbindung,Fehler behoben,Netzteil,2.83
WO-2025-00384,0A:F8:DC:B9:8E:4B,2025-09-03,2025-09-14,Auffaellige Statistik,Kein Fehler gefunden,,1.78
WO-2025-00388,02:47:8C:D9:0F:3A,2025-09-04,2025-09-14,Routinepruefung,Kein Fehler gefunden,,1.82
WO-2025-00381,0A:57:33:86:57:F8,2025-09-04,2025-09-11,Auffaellige Statistik,Kein Fehler gefunden,,0.52
WO-2025-00380,0A:96:EA:CD:80:70,2025-09-04,2025-09-07,Haeufige Neustarts,Kein Fehler gefunden,,1.09
WO-2025-00390,0A:9A:3B:FD:6C:9B,2025-09-04,2025-09-16,Signal schwach,Kein Fehler gefunden,,0.86
WO-2025-00389,02:09:1D:F7:CC:B8,2025-09-05,2025-09-22,Zaehler nicht gelesen,Fehler behoben,Netzteil,3.06
WO-2025-00385,0A:D2:76:FC:5E:27,2025-09-05,2025-09-11,Auffaellige Statistik,Kein Fehler gefunden,,0.78
WO-2025-00378,0E:41:CF:7F:74:D5,2025-09-05,2025-09-17,Routinepruefung,Kein Fehler gefunden,,0.85
WO-2025-00397,06:B6:41:B7:5B:29,2025-09-09,2025-09-24,Kunde meldet Ausfall,Kein Fehler gefunden,,1.24
WO-2025-00394,0A:A1:8F:33:0F:59,2025-09-10,2025-09-26,Zaehler nicht gelesen,Fehler behoben,Kabel,3.7
WO-2025-00398,02:17:82:0B:FF:B2,2025-09-11,2025-09-15,Auffaellige Statistik,Kein Fehler gefunden,,1.74
WO-2025-00395,06:F4:9B:D8:F5:72,2025-09-11,2025-09-22,Kunde meldet Ausfall,Fehler behoben,Kabel,3.57
WO-2025-00396,02:87:64:AA:02:6E,2025-09-12,2025-09-25,Kunde meldet Ausfall,Kein Fehler gefunden,,0.63
WO-2025-00393,02:F5:CE:77:05:EC,2025-09-12,2025-09-28,Kunde meldet Ausfall,Fehler behoben,,1.82
WO-2025-00399,0A:5C:14:39:B3:84,2025-09-12,2025-09-21,Signal schwach,Kein Fehler gefunden,,1.07
WO-2025-00407,0A:68:F3:8A:6A:CF,2025-09-15,2025-09-28,Kunde meldet Ausfall,Fehler behoben,Kabel,2.31
WO-2025-00408,0E:27:28:C4:81:CA,2025-09-15,2025-09-30,Keine Verbindung,Kein Fehler gefunden,,1.67
WO-2025-00405,0E:61:D3:4F:99:93,2025-09-15,2025-09-20,Zaehler nicht gelesen,Kein Fehler gefunden,,1.16
WO-2025-00404,02:DC:03:A0:F1:E6,2025-09-16,2025-09-18,Routinepruefung,Kein Fehler gefunden,,1.09
WO-2025-00402,0E:E0:71:F7:B2:4A,2025-09-16,2025-09-26,Zaehler nicht gelesen,Fehler behoben,Netzteil,2.09
WO-2025-00411,02:07:5B:45:BF:24,2025-09-18,2025-09-28,Zaehler nicht gelesen,Fehler behoben,SIM-Karte,1.94
WO-2025-00400,0A:A4:73:D2:FC:17,2025-09-18,2025-09-26,Keine Verbindung,Kein Fehler gefunden,,0.94
WO-2025-00412,0A:F1:F0:E3:B6:40,2025-09-18,2025-10-01,Signal schwach,Kein Fehler gefunden,,1.36
WO-2025-00409,0A:27:2C:5A:2C:9B,2025-09-19,2025-10-06,Auffaellige Statistik,Kein Fehler gefunden,,1.69
WO-2025-00406,0A:A4:B0:65:E5:A5,2025-09-19,2025-09-28,Keine Verbindung,Fehler behoben,,3.51
WO-2025-00401,0A:FF:C2:63:C0:D9,2025-09-19,2025-09-22,Kunde meldet Ausfall,Fehler behoben,Antenne,1.99
WO-2025-00410,0E:89:2C:46:A4:42,2025-09-19,2025-09-27,Signal schwach,Kein Fehler gefunden,,1.39
WO-2025-00403,0E:F4:37:10:8E:63,2025-09-19,2025-09-30,Signal schwach,Kein Zugang,,0.78
WO-2025-00413,06:98:1F:D8:AA:87,2025-09-22,2025-10-08,Haeufige Neustarts,Kein Fehler gefunden,,1.82
WO-2025-00415,0A:B5:F9:C2:1B:F8,2025-09-23,2025-09-27,Routinepruefung,Kein Fehler gefunden,,1.67
WO-2025-00418,02:9C:03:C2:BF:19,2025-09-24,2025-09-29,Routinepruefung,Kein Fehler gefunden,,1.46
WO-2025-00417,0A:A2:F2:CA:B5:0B,2025-09-25,2025-10-11,Kunde meldet Ausfall,Fehler behoben,Gateway getauscht,1.23
WO-2025-00414,0E:03:D8:F6:98:53,2025-09-25,2025-10-05,Haeufige Neustarts,Fehler behoben,Antenne,3.44
WO-2025-00416,0A:BE:42:BE:41:65,2025-09-26,2025-10-12,Kunde meldet Ausfall,Kein Fehler gefunden,,1.4
WO-2025-00419,0E:3D:06:A0:7E:94,2025-09-26,2025-10-12,Haeufige Neustarts,Kein Fehler gefunden,,0.72
WO-2025-00420,0A:5D:01:7E:40:1E,2025-09-29,2025-10-03,Routinepruefung,Kein Fehler gefunden,,0.59
WO-2025-00422,0E:3D:96:23:76:39,2025-09-29,2025-10-13,Zaehler nicht gelesen,Fehler behoben,Netzteil,1.71
WO-2025-00424,02:13:26:77:32:8F,2025-09-30,2025-10-14,Haeufige Neustarts,Fehler behoben,Gateway getauscht,3.57
WO-2025-00427,02:D7:62:35:52:C8,2025-09-30,2025-10-06,Routinepruefung,Kein Fehler gefunden,,0.78
